td_A_700038857	td_A_700023382	td_A_700099065	td_A_700113553	td_A_700095837	td_A_700102525	td_A_700038905	td_A_700107822	td_A_700032228	td_A_700103608	td_B_700033928	td_B_700113016	td_B_700035243	td_B_700100477	td_B_700038113	td_B_700024958	td_B_700097487	td_B_700016462	td_B_700109512	td_B_700099008
OTU_97.11537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.11540	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11551	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.11554	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11569	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1157	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_97.11571	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0
OTU_97.11575	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU_97.11576	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	1	0
OTU_97.116	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
OTU_97.11620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.11627	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11637	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
OTU_97.11641	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11650	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_97.11656	1	8	4	0	0	0	6	0	0	9	0	6	0	0	0	12	0	1	0	7
OTU_97.11664	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.11682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_97.11685	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0
OTU_97.11691	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0
OTU_97.117	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	16	0	0	0	0
OTU_97.11714	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU_97.11715	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11717	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
OTU_97.1174	0	0	3	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0
OTU_97.11742	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11744	0	2	0	0	0	1	6	0	0	29	0	5	0	0	0	3	0	3	1	3
OTU_97.11762	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1
OTU_97.11765	0	6	0	0	0	4	0	0	0	6	1	2	0	2	0	9	7	0	19	0
OTU_97.11770	0	3	0	0	1	1	0	0	0	2	0	0	0	0	1	2	0	0	0	0
OTU_97.11775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_97.11781	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0
OTU_97.11782	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_97.11783	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.1180	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.11800	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	1	0	0	0	0
OTU_97.11807	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.11810	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.11820	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
OTU_97.11826	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
OTU_97.11842	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11849	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU_97.1185	0	0	0	172	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_97.11850	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11851	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_97.11854	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.11855	15	0	0	2	6	20	4	1	1	0	3	11	4	0	5	20	0	18	5	6
OTU_97.11860	0	0	0	0	1	0	1	0	2	1	0	0	1	0	0	8	0	0	6	0
OTU_97.11864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_97.1187	1	0	0	0	3	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0
OTU_97.11883	1	1	0	0	0	1	1	0	0	2	0	0	2	0	0	0	0	1	1	0
OTU_97.11885	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_97.1189	1	0	0	0	3	31	0	0	25	4	2	3	0	1	5	1	0	1	29	0
OTU_97.11895	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.11899	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97.119	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_97.11904	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
